Feature_Index	Monoisotopic_Mass	Average_Mono_Mass	UMC_MW_Min	UMC_MW_Max	Scan_Start	Scan_End	Scan	UMC_Member_Count	Max_Abundance	Abundance	Class_Rep_MZ	Class_Rep_Charge	Charge_Max	Drift_Time	Conformation_Fit_Score
1	1128.65675	1128.65675	1128.63421	1128.67506	2	17	7	18	2443	45200	565.33955	2	2	28.086	0
5	1771.01446	1771.01446	1770.98789	1771.04988	6	12	12	9	1998	15793	591.35565	3	3	27.703	0
9	1494.68859	1494.68859	1494.66722	1494.7117	29	36	36	12	1845	28433	748.34739	2	2	31.109	0
16	1898.89558	1898.89558	1898.87625	1898.93225	36	41	36	22	3642	66842	633.97706	3	3	25.762	0
18	1128.65894	1128.65894	1128.63845	1128.67536	37	41	41	22	3689	117411	565.3393	2	2	27.996	0
19	1253.71490	1253.71490	1253.69132	1253.72978	37	41	37	6	1476	10722	627.85239	2	2	29.341	0
29	832.40197	832.40197	832.38579	832.42382	67	74	71	24	3435	55696	417.21192	2	2	23.482	0
30	756.38825	756.38825	756.37582	756.40204	104	111	106	19	3570	92446	379.20087	2	2	24.395	0
34	827.42038	827.42038	827.41286	827.43225	135	146	138	33	4590	250992	414.72063	2	2	24.046	0
35	827.42324	827.42324	827.41053	827.43154	139	143	143	9	4590	58601	276.81701	3	3	20.294	0
39	982.51438	982.51438	982.50721	982.52282	170	176	170	9	3803	38457	328.51115	3	3	21.857	0
41	990.54677	990.54677	990.51883	990.56544	182	188	188	28	3395	50531	496.28069	2	2	25.666	0
45	885.52886	885.52886	885.50734	885.54179	187	195	189	36	4132	212973	296.18451	3	3	22.276	0
48	990.54599	990.54599	990.53776	990.56527	187	194	190	31	3125	161708	496.2764	2	2	25.641	0
49	744.40148	744.40148	744.39415	744.41769	193	197	195	13	3678	67859	373.20747	2	2	23.17	0
54	1209.61823	1209.61823	1209.60077	1209.64874	215	232	224	59	4590	153055	404.21125	3	3	22.371	0
55	1209.61515	1209.61515	1209.59239	1209.63908	219	228	223	45	3495	189002	605.81246	2	2	27.843	0
59	1078.48867	1078.48867	1078.47931	1078.49788	221	227	224	10	3858	25152	540.25567	2	2	27.521	0
61	1010.54664	1010.54664	1010.52736	1010.56788	222	227	226	14	4465	69308	337.86027	3	3	21.239	0
64	1025.50566	1025.50566	1025.49333	1025.524	223	227	227	9	2614	18345	513.75606	2	2	25.423	0
72	1237.64080	1237.64080	1237.61678	1237.65404	227	232	230	15	2445	66292	413.5504	3	3	22.998	0
74	1025.51623	1025.51623	1025.48936	1025.52621	228	236	228	22	3808	92001	342.84345	3	3	21.872	0
77	1364.71881	1364.71881	1364.69048	1364.73551	247	252	251	10	3698	39235	342.18182	4	4	21.576	0
78	952.51536	952.51536	952.50309	952.521	248	252	248	10	2496	42107	477.26674	2	2	25.581	0
80	939.43323	939.43323	939.42259	939.44807	252	259	256	18	3379	91273	470.72075	2	2	24.952	0
82	635.36055	635.36055	635.35225	635.37363	254	264	262	44	4451	465734	318.69318	2	2	22.851	0
84	748.44658	748.44658	748.42821	748.461	255	271	261	90	4590	825552	375.22948	2	2	23.986	0
86	748.45409	748.45409	748.44563	748.46857	256	263	259	21	4590	123706	250.49394	3	3	20.582	0
91	635.36031	635.36031	635.3481	635.38818	260	265	261	45	4321	323711	318.68874	2	2	22.851	0
94	748.44890	748.44890	748.42567	748.46386	262	272	265	27	4549	162000	250.49065	3	3	20.708	0
