Cluster Id	Dataset Id	Feature Id	Mono Mass	NET	Drift Time	charge
4090	0	2614	1859.95399	0.488349515	25.31536	2
4090	1	2334	1859.936452	0.487541899	25.49805	2
4090	1	2335	1859.939221	0.50788951	25.46379	2
4090	2	2456	1859.943848	0.505372168	25.29903	2
4090	2	2457	1859.952296	0.48789644	25.37798	2
4090	3	2656	1859.971564	0.488272981	25.5888	2
4090	4	2430	1859.957453	0.485418627	25.40049	2
4090	4	2431	1859.962319	0.503170273	25.40991	2
6384	0	4083	1859.94867	0.488349515	19.84407	3
6384	1	3592	1859.953177	0.486610801	19.93802	3
6384	2	3830	1859.955255	0.486601942	19.92832	3
6384	3	4158	1859.956077	0.487344475	19.82734	3
6384	4	3769	1859.965792	0.484477893	19.90082	3
6385	0	4082	1859.94848	0.505825243	19.26031	3
6385	0	4084	1859.95135	0.505825243	18.61725	3
6385	1	3589	1859.949267	0.504692737	19.16237	3
6385	1	3590	1859.952067	0.486610801	18.65955	3
6385	1	3591	1859.952387	0.504692737	18.6903	3
6385	2	3828	1859.949837	0.502783172	19.10537	3
6385	2	3829	1859.950877	0.502783172	18.71264	3
6385	2	3831	1859.958615	0.486601942	18.66782	3
6385	3	4155	1859.944921	0.50722377	19.21187	3
6385	3	4156	1859.947286	0.506295265	18.86852	3
6385	3	4157	1859.954368	0.485487465	18.59598	3
6385	4	3767	1859.954758	0.501915961	18.84112	3
6385	4	3768	1859.959602	0.484477893	18.71198	3
